연번,역명,평일(일평균),토요일,일요일
1,가락시장,27085,18096,13918
2,가산디지털단지,71425,42899,33737
3,강남,63594,42063,30810
4,강남구청,50526,33079,21566
5,강동,4605,3219,2313
6,건대입구,85105,69793,51763
7,고속터미널,169165,139754,99681
8,공덕,66132,44274,32655
9,교대,124712,86544,55754
10,군자,85184,62429,46000
11,김포공항,31098,22301,16488
12,까치산,30796,20769,15217
13,노원,31165,24994,17629
14,당산,58973,44232,32604
15,대림,63574,45089,32337
16,도곡,21547,14576,9510
17,도봉산,33489,28744,23045
18,동대문,34701,30571,21400
19,동대문역사문화공원,160426,123540,89843
20,동묘앞,30458,28520,22640
21,동작,32715,26035,18376
22,디지털미디어시티,29905,23518,18286
23,모란,15667,11789,8528
24,보문,13249,9937,7392
25,복정,57748,37995,27934
26,부평구청,42427,30550,21864
27,불광,19048,14956,11252
28,사당,127618,101109,71811
29,삼각지,33858,30371,21555
30,상봉,35930,30447,24310
31,서울역,93461,77181,60328
32,석계,18884,14360,11276
33,석촌,29676,19988,15215
34,선릉,78335,48783,31021
35,성수,20691,14075,10791
36,성신여대입구,19386,15636,12521
37,수서,12162,8306,6257
38,시청,34177,28478,19627
39,신길,36953,26215,19088
40,신내,5244,4470,3778
41,신당,30531,25626,18472
42,신도림,215894,174249,126395
43,신설동,28393,22387,18145
44,약수,40613,32601,22943
45,양재,47294,36128,25526
46,여의도,45330,30964,21805
47,연신내,27406,21120,15650
48,영등포구청,64114,44386,29907
49,오금,25415,15692,11412
50,옥수,22247,18213,12589
51,온수,46386,33332,24823
52,올림픽공원,15690,11549,9082
53,왕십리,122842,94976,66930
54,을지로3가,47919,37252,25553
55,을지로4가,12604,8154,5202
56,이촌,19372,19111,14386
57,잠실,87305,56090,40117
58,종로3가,108811,95362,64621
59,종합운동장,25632,20296,17126
60,창동,56060,47337,37111
61,천호,71895,47818,34767
62,청구,24286,19064,14201
63,청량리,17699,19512,16237
64,총신대입구(이수),53029,43944,31880
65,충무로,101438,77858,51216
66,충정로,11961,6183,4337
67,태릉입구,37160,27116,19871
68,합정,76959,59612,42655
69,홍대입구,51802,49401,37311
70,효창공원앞,5125,4132,3243
